epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,334.805,1.15285,0.96112,2.14231,0.72916,0.72842,0.74177,0.52373,1.21606,1.05536,2.46881,0.000828443,0.000828443,0.000828443
43,342.791,1.14926,0.96657,2.14845,0.70696,0.75232,0.73403,0.51133,1.19089,1.09087,2.59318,0.000820525,0.000820525,0.000820525
44,350.773,1.15713,0.97389,2.15547,0.75237,0.7386,0.74718,0.51446,1.19219,1.08941,2.61915,0.000812468,0.000812468,0.000812468
45,358.728,1.14974,0.95996,2.15498,0.74725,0.74448,0.73298,0.50855,1.18716,1.06338,2.71794,0.000804277,0.000804277,0.000804277
46,366.7,1.16104,0.96812,2.1359,0.78024,0.71367,0.74169,0.51866,1.17477,1.00411,2.64753,0.000795954,0.000795954,0.000795954
47,374.71,1.13371,0.95006,2.14438,0.73347,0.7512,0.74493,0.5191,1.16564,1.05789,2.70223,0.000787503,0.000787503,0.000787503
48,382.738,1.12653,0.926,2.12124,0.73681,0.75442,0.75087,0.5376,1.14495,1.04922,2.7419,0.000778929,0.000778929,0.000778929
49,390.709,1.1118,0.91646,2.11158,0.78494,0.73185,0.77872,0.55564,1.17863,1.00656,2.68517,0.000770234,0.000770234,0.000770234
50,398.713,1.11949,0.92393,2.12022,0.75536,0.77333,0.75658,0.53052,1.1908,1.05277,2.54784,0.000761423,0.000761423,0.000761423
51,406.744,1.13569,0.95348,2.13179,0.66294,0.76699,0.74591,0.53042,1.16365,1.06886,2.84301,0.0007525,0.0007525,0.0007525
52,414.744,1.11189,0.92142,2.12377,0.73837,0.75453,0.72542,0.50803,1.18708,1.06013,2.72528,0.000743468,0.000743468,0.000743468
53,422.699,1.13357,0.93874,2.13811,0.75412,0.75987,0.76436,0.52873,1.2248,1.02705,2.5495,0.000734332,0.000734332,0.000734332
54,430.719,1.10523,0.89967,2.09674,0.74909,0.72803,0.75686,0.53694,1.22751,1.0689,2.62743,0.000725094,0.000725094,0.000725094
55,438.69,1.11233,0.89829,2.09784,0.74865,0.74117,0.77406,0.5509,1.19429,1.02149,2.79562,0.000715761,0.000715761,0.000715761
56,446.634,1.09295,0.87689,2.08073,0.77003,0.72377,0.74405,0.52309,1.18275,1.03998,2.58462,0.000706335,0.000706335,0.000706335
57,454.566,1.11091,0.90312,2.10089,0.69698,0.76096,0.74923,0.53446,1.16009,1.05723,2.59457,0.00069682,0.00069682,0.00069682
58,462.48,1.09772,0.88941,2.08545,0.70931,0.74914,0.75019,0.52866,1.17818,1.04681,2.56543,0.000687222,0.000687222,0.000687222
59,470.439,1.10043,0.88758,2.10127,0.7096,0.76294,0.74821,0.54199,1.1792,1.00492,2.50589,0.000677543,0.000677543,0.000677543
60,478.416,1.08303,0.87689,2.0776,0.71962,0.75285,0.75629,0.54362,1.16897,1.03659,2.78592,0.000667789,0.000667789,0.000667789
61,486.37,1.09185,0.87989,2.09705,0.78915,0.70285,0.75231,0.54064,1.1821,1.02129,2.61486,0.000657963,0.000657963,0.000657963
62,494.363,1.08438,0.86847,2.09267,0.77157,0.72189,0.78013,0.5585,1.14696,1.04524,2.63535,0.000648071,0.000648071,0.000648071
63,502.32,1.07975,0.86192,2.07842,0.7947,0.72255,0.7721,0.54346,1.17981,1.01685,2.53132,0.000638115,0.000638115,0.000638115
64,510.286,1.06774,0.85558,2.06474,0.75605,0.74475,0.76553,0.54747,1.16094,1.02859,2.61794,0.000628101,0.000628101,0.000628101
