epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.14291,1.83709,2.8266,2.49547,0.58848,0.42781,0.55945,0.31996,1.58141,2.3512,2.40239,0.0672821,0.000330484,0.000330484
2,15.5526,1.63418,1.99492,2.35914,0.76853,0.6231,0.72464,0.4115,1.49602,1.49469,2.28775,0.034282,0.000663746,0.000663746
3,22.8987,1.60351,1.78833,2.31377,0.79083,0.71588,0.75794,0.49361,1.36255,1.39012,2.29775,0.00128162,0.000996718,0.000996718
4,30.2248,1.54607,1.6477,2.31031,0.72974,0.70179,0.72551,0.48579,1.28002,1.28149,2.25705,0.000999023,0.000999023,0.000999023
5,37.5516,1.49226,1.5084,2.28486,0.83177,0.75101,0.81229,0.54823,1.39434,1.19328,2.27396,0.000998264,0.000998264,0.000998264
6,44.8551,1.42952,1.42446,2.2372,0.75502,0.71875,0.788,0.50817,1.25543,1.19149,2.20188,0.000997288,0.000997288,0.000997288
7,52.2073,1.42697,1.38174,2.22933,0.85273,0.73433,0.82136,0.52545,1.32597,1.11639,2.22909,0.000996097,0.000996097,0.000996097
8,59.637,1.41081,1.34629,2.23825,0.81535,0.79359,0.84633,0.56376,1.3023,1.0085,2.21286,0.00099469,0.00099469,0.00099469
9,67.0607,1.41066,1.2979,2.23895,0.8066,0.74856,0.77594,0.52443,1.27235,1.2943,2.27752,0.000993068,0.000993068,0.000993068
10,74.5706,1.38896,1.26615,2.23399,0.80948,0.77971,0.81213,0.57623,1.25551,1.02979,2.32995,0.000991232,0.000991232,0.000991232
11,82.1753,1.34479,1.19367,2.19738,0.87917,0.78154,0.8219,0.54642,1.26938,1.03349,2.32109,0.000989183,0.000989183,0.000989183
12,89.8542,1.34131,1.16247,2.18206,0.84123,0.80628,0.83299,0.5436,1.26507,1.07952,2.2885,0.000986922,0.000986922,0.000986922
13,97.483,1.33152,1.18785,2.20854,0.82156,0.75409,0.78949,0.53992,1.23482,1.09495,2.31361,0.000984449,0.000984449,0.000984449
14,105.056,1.3173,1.16654,2.2092,0.83955,0.79923,0.83048,0.60105,1.20874,1.01748,2.36931,0.000981765,0.000981765,0.000981765
15,112.648,1.2717,1.12707,2.17126,0.8332,0.78683,0.8063,0.55735,1.23027,0.99943,2.25351,0.000978873,0.000978873,0.000978873
16,120.282,1.29099,1.11118,2.15951,0.86212,0.72289,0.80698,0.57353,1.23903,1.07832,2.30931,0.000975773,0.000975773,0.000975773
17,127.874,1.25828,1.07243,2.18379,0.83669,0.80459,0.82342,0.57276,1.27778,0.96263,2.36099,0.000972466,0.000972466,0.000972466
18,135.477,1.26743,1.03886,2.15385,0.82266,0.79628,0.82594,0.54666,1.29051,0.92514,2.40417,0.000968955,0.000968955,0.000968955
19,143.102,1.27298,1.07292,2.16994,0.7787,0.77527,0.81287,0.5791,1.25682,0.87468,2.39517,0.000965239,0.000965239,0.000965239
20,150.772,1.23195,1.01613,2.14211,0.79187,0.78151,0.82345,0.5982,1.18037,0.97078,2.34887,0.000961322,0.000961322,0.000961322
21,158.424,1.21841,0.9976,2.11769,0.89575,0.7992,0.85114,0.61063,1.1897,0.87107,2.35549,0.000957205,0.000957205,0.000957205
22,166.051,1.26223,1.05212,2.19144,0.83472,0.76982,0.824,0.5798,1.20318,0.98145,2.32294,0.000952889,0.000952889,0.000952889
23,173.665,1.23475,1.01965,2.14535,0.86144,0.81461,0.82837,0.58769,1.19604,0.85767,2.37659,0.000948377,0.000948377,0.000948377
24,181.32,1.21054,0.982,2.14232,0.8919,0.76764,0.83094,0.60074,1.20737,0.94577,2.38631,0.000943671,0.000943671,0.000943671
25,188.98,1.20369,0.99937,2.11506,0.90773,0.76236,0.84072,0.59972,1.18225,0.87958,2.37114,0.000938772,0.000938772,0.000938772
26,196.629,1.17554,0.93308,2.09584,0.87324,0.8155,0.82959,0.59163,1.16687,0.90108,2.28009,0.000933683,0.000933683,0.000933683
27,204.261,1.17347,0.93194,2.10082,0.83883,0.83484,0.83969,0.59508,1.17738,0.85592,2.29494,0.000928405,0.000928405,0.000928405
28,211.985,1.18069,0.97666,2.09812,0.77853,0.79122,0.8146,0.57958,1.17014,0.95948,2.37167,0.000922942,0.000922942,0.000922942
29,219.627,1.17775,0.97245,2.11606,0.85741,0.81241,0.82857,0.58431,1.21272,0.91075,2.39166,0.000917296,0.000917296,0.000917296
30,227.315,1.15543,0.89955,2.0614,0.79588,0.84752,0.84074,0.59448,1.16018,0.9089,2.30684,0.000911469,0.000911469,0.000911469
31,234.983,1.15789,0.9343,2.10783,0.87387,0.79112,0.81411,0.59038,1.13591,0.93584,2.35388,0.000905463,0.000905463,0.000905463
32,242.667,1.16328,0.94132,2.08488,0.84445,0.75924,0.81303,0.60727,1.18285,1.0375,2.43081,0.000899282,0.000899282,0.000899282
33,250.304,1.13384,0.88268,2.02732,0.89318,0.81368,0.82995,0.57767,1.19771,0.99878,2.40446,0.000892928,0.000892928,0.000892928
34,258.013,1.12954,0.88952,2.08836,0.88709,0.79364,0.81705,0.58842,1.17206,0.97806,2.2996,0.000886404,0.000886404,0.000886404
35,265.696,1.12207,0.87829,2.05383,0.848,0.80807,0.81402,0.57022,1.20795,0.94546,2.44541,0.000879713,0.000879713,0.000879713
36,273.415,1.09196,0.83692,2.0409,0.86614,0.82186,0.84351,0.59634,1.18845,0.96938,2.38573,0.000872857,0.000872857,0.000872857
37,281.127,1.11402,0.87245,2.04484,0.86125,0.78592,0.80556,0.58906,1.15215,0.93965,2.34086,0.000865839,0.000865839,0.000865839
38,288.794,1.10227,0.87074,2.05321,0.89265,0.81067,0.83939,0.60755,1.19301,0.82918,2.44181,0.000858664,0.000858664,0.000858664
39,296.489,1.09585,0.81893,2.042,0.86219,0.85272,0.84631,0.58211,1.15956,0.81582,2.39869,0.000851333,0.000851333,0.000851333
40,304.185,1.07815,0.82048,2.03355,0.87866,0.82862,0.84202,0.60943,1.17954,0.89096,2.38014,0.000843851,0.000843851,0.000843851
41,311.856,1.11347,0.84404,2.06422,0.87189,0.80147,0.83467,0.5836,1.18119,0.88446,2.30084,0.00083622,0.00083622,0.00083622
42,319.53,1.06415,0.81373,2.04475,0.86144,0.80262,0.81636,0.59817,1.15573,0.92252,2.31944,0.000828443,0.000828443,0.000828443
43,327.241,1.07406,0.81881,2.02563,0.85124,0.82111,0.81851,0.59362,1.16955,0.86165,2.26799,0.000820525,0.000820525,0.000820525
44,334.96,1.10173,0.86223,2.04236,0.85385,0.83226,0.83834,0.60903,1.15455,0.84176,2.3167,0.000812468,0.000812468,0.000812468
45,342.635,1.06552,0.82161,2.0383,0.87614,0.78737,0.82692,0.58455,1.24616,0.95028,2.51127,0.000804277,0.000804277,0.000804277
46,350.373,1.06968,0.81537,1.98841,0.86896,0.80083,0.80513,0.56998,1.15209,0.92642,2.40814,0.000795954,0.000795954,0.000795954
47,358.068,1.04907,0.80341,1.99602,0.85209,0.8274,0.84478,0.58855,1.19518,0.869,2.46596,0.000787503,0.000787503,0.000787503
48,365.778,1.04626,0.79687,2.00586,0.87556,0.82438,0.84343,0.60498,1.18589,0.85996,2.47868,0.000778929,0.000778929,0.000778929
49,373.469,1.03947,0.78596,1.99991,0.84817,0.78846,0.80914,0.56763,1.20514,1.01306,2.41168,0.000770234,0.000770234,0.000770234
50,381.179,1.04121,0.79692,1.99595,0.86943,0.8207,0.82228,0.5846,1.21735,0.84686,2.40196,0.000761423,0.000761423,0.000761423
51,388.916,1.06569,0.8003,2.02292,0.8673,0.83205,0.85062,0.57778,1.18664,0.86104,2.39116,0.0007525,0.0007525,0.0007525
